protocol,trial,violated,stale_repair_accepts,finality_latency,messages,retained_capabilities,post_finality_openings
unfenced,156,1,9,21,9,10,3
vssr,156,1,9,21,9,19,3
epoch,156,0,0,40,9,0,0
fgsr,157,0,0,20,7,0,0
unfenced,157,1,7,20,7,10,3
vssr,157,1,7,20,7,17,3
epoch,157,0,0,40,7,0,0
fgsr,158,0,0,22,8,0,0
unfenced,158,1,8,22,8,10,3
vssr,158,1,8,22,8,18,3
epoch,158,0,0,40,8,0,0
fgsr,159,0,0,18,8,0,0
unfenced,159,1,8,18,8,10,3
vssr,159,1,8,18,8,18,3
epoch,159,0,0,40,8,0,0
fgsr,160,0,0,16,10,0,0
unfenced,160,1,10,16,10,10,3
vssr,160,1,10,16,10,20,3
epoch,160,0,0,40,10,0,0
fgsr,161,0,0,18,10,0,0
unfenced,161,1,10,18,10,10,3
vssr,161,1,10,18,10,20,3
epoch,161,0,0,40,10,0,0
fgsr,162,0,0,16,8,0,0
unfenced,162,1,8,16,8,10,3
vssr,162,1,8,16,8,18,3
epoch,162,0,0,40,8,0,0
fgsr,163,0,0,22,7,0,0
unfenced,163,1,7,22,7,10,3
vssr,163,1,7,22,7,17,3
epoch,163,0,0,40,7,0,0
fgsr,164,0,0,20,7,0,0
unfenced,164,1,7,20,7,10,3
vssr,164,1,7,20,7,17,3
epoch,164,0,0,40,7,0,0
fgsr,165,0,0,20,9,0,0
unfenced,165,1,9,20,9,10,3
vssr,165,1,9,20,9,19,3
epoch,165,0,0,40,9,0,0
fgsr,166,0,0,20,9,0,0
unfenced,166,1,9,20,9,10,3
vssr,166,1,9,20,9,19,3
epoch,166,0,0,40,9,0,0
fgsr,167,0,0,21,9,0,0
unfenced,167,1,9,21,9,10,3
vssr,167,1,9,21,9,19,3
epoch,167,0,0,40,9,0,0
fgsr,168,0,0,22,9,0,0
unfenced,168,1,9,22,9,10,3
vssr,168,1,9,22,9,19,3
epoch,168,0,0,40,9,0,0
fgsr,169,0,0,19,10,0,0
unfenced,169,1,10,19,10,10,3
vssr,169,1,10,19,10,20,3
epoch,169,0,0,40,10,0,0
fgsr,170,0,0,19,7,0,0
unfenced,170,1,7,19,7,10,3
vssr,170,1,7,19,7,17,3
epoch,170,0,0,40,7,0,0
fgsr,171,0,0,22,9,0,0
unfenced,171,1,9,22,9,10,3
vssr,171,1,9,22,9,19,3
epoch,171,0,0,40,9,0,0
fgsr,172,0,0,22,9,0,0
unfenced,172,1,9,22,9,10,3
vssr,172,1,9,22,9,19,3
epoch,172,0,0,40,9,0,0
fgsr,173,0,0,22,9,0,0
unfenced,173,1,9,22,9,10,3
vssr,173,1,9,22,9,19,3
epoch,173,0,0,40,9,0,0
fgsr,174,0,0,19,9,0,0
unfenced,174,1,9,19,9,10,3
vssr,174,1,9,19,9,19,3
epoch,174,0,0,40,9,0,0
fgsr,175,0,0,21,9,0,0
unfenced,175,1,9,21,9,10,3
vssr,175,1,9,21,9,19,3
epoch,175,0,0,40,9,0,0
fgsr,176,0,0,20,9,0,0
unfenced,176,1,9,20,9,10,3
vssr,176,1,9,20,9,19,3
epoch,176,0,0,40,9,0,0
fgsr,177,0,0,20,9,0,0
unfenced,177,1,9,20,9,10,3
vssr,177,1,9,20,9,19,3
epoch,177,0,0,40,9,0,0
fgsr,178,0,0,21,9,0,0
unfenced,178,1,9,21,9,10,3
vssr,178,1,9,21,9,19,3
epoch,178,0,0,40,9,0,0
fgsr,179,0,0,22,10,0,0
unfenced,179,1,10,22,10,10,3
vssr,179,1,10,22,10,20,3
epoch,179,0,0,40,10,0,0
fgsr,180,0,0,19,9,0,0
unfenced,180,1,9,19,9,10,3
vssr,180,1,9,19,9,19,3
epoch,180,0,0,40,9,0,0
fgsr,181,0,0,20,8,0,0
unfenced,181,1,8,20,8,10,3
vssr,181,1,8,20,8,18,3
epoch,181,0,0,40,8,0,0
fgsr,182,0,0,19,9,0,0
unfenced,182,1,9,19,9,10,3
vssr,182,1,9,19,9,19,3
epoch,182,0,0,40,9,0,0
fgsr,183,0,0,22,8,0,0
unfenced,183,1,8,22,8,10,3
vssr,183,1,8,22,8,18,3
epoch,183,0,0,40,8,0,0
fgsr,184,0,0,22,7,0,0
unfenced,184,1,7,22,7,10,3
vssr,184,1,7,22,7,17,3
epoch,184,0,0,40,7,0,0
fgsr,185,0,0,18,7,0,0
unfenced,185,1,7,18,7,10,3
vssr,185,1,7,18,7,17,3
epoch,185,0,0,40,7,0,0
fgsr,186,0,0,20,6,0,0
unfenced,186,1,6,20,6,10,3
vssr,186,1,6,20,6,16,3
epoch,186,0,0,40,6,0,0
fgsr,187,0,0,22,8,0,0
